,STABBR,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,labels
3785,TX,2,1,0.7167,1048.0,7419.0,6984.0,18259.0,0.46545000000000003,0.0866,0.3767,3
3786,TX,1,3,0.7167,1048.0,493.0,8792.0,21868.0,0.46545000000000003,0.4736,0.7339,4
3787,TX,1,3,0.7167,1048.0,108.0,8792.0,11963.0,0.46545000000000003,0.7975,0.7342,2
3788,TX,2,1,0.7167,1048.0,10256.0,8957.0,18259.0,0.46545000000000003,0.3907,0.4539,0
3789,TX,1,3,0.7167,1048.0,51.0,8792.0,3632.0,0.46545000000000003,0.0,0.6552,4
3790,TX,2,1,0.7167,1048.0,56288.0,6141.0,18259.0,0.46545000000000003,0.2077,0.3544,3
3791,TX,2,1,0.7167,1048.0,9319.0,6822.0,18259.0,0.46545000000000003,0.076,0.2754,3
3792,TX,3,1,0.5969,1100.0,31243.0,10774.0,18259.0,0.4993,0.5602,0.3645,0
3793,TX,2,1,0.7167,1048.0,3020.0,6421.0,18259.0,0.46545000000000003,0.2322,0.5133,3
3794,TX,3,2,0.5093,981.0,645.0,8792.0,12000.0,0.3083,0.8244,0.5229,1
3796,TX,1,3,0.7167,1048.0,360.0,8792.0,23447.0,0.46545000000000003,0.763,0.6498,2
3797,TX,2,1,0.7167,1048.0,3781.0,4294.0,18259.0,0.46545000000000003,0.0542,0.2691,3
3798,TX,1,3,0.7167,1048.0,212.0,8792.0,16399.0,0.46545000000000003,0.7787,0.7787,2
3799,TX,1,3,0.7167,1048.0,223.0,8792.0,16678.0,0.46545000000000003,0.7399,0.7136,2
3800,TX,3,2,0.6561,882.0,1509.0,8792.0,16080.0,0.341,0.7795,0.5714,1
3801,TX,3,1,0.6217,937.0,17200.0,2452.0,18259.0,0.393,0.424,0.6362,0
3802,TX,3,1,0.7167,1048.0,10379.0,7793.0,18259.0,0.2568,0.4499,0.575,0
3803,TX,1,1,0.7167,1048.0,2699.0,7734.0,18259.0,0.46545000000000003,0.2647,0.1486,3
3804,TX,2,1,0.7167,1048.0,3964.0,6058.0,18259.0,0.46545000000000003,0.0,0.473,3
3805,TX,3,2,0.9858,775.0,243.0,8792.0,13197.0,0.049,0.8698,0.7865,1
3806,TX,3,1,0.4232,845.0,6731.0,9394.0,18259.0,0.3652,0.7982,0.6541,0
3807,TX,1,1,0.7167,1048.0,1738.0,5293.0,18259.0,0.46545000000000003,0.2519,0.3681,3
3808,TX,1,3,0.7167,1048.0,251.0,8792.0,24994.0,0.46545000000000003,0.7557,0.5267,2
3809,TX,3,2,0.1674,1454.0,3920.0,8792.0,16730.0,0.9111,0.1798,0.1723,1
3810,TX,2,1,0.7167,1048.0,15979.0,7580.0,18259.0,0.46545000000000003,0.0698,0.2852,3
3811,TX,1,3,0.7167,1048.0,538.0,8792.0,20534.0,0.46545000000000003,0.3379,0.4438,4
3812,TX,3,2,0.7853,1117.0,4077.0,8792.0,20191.0,0.6952,0.5887,0.344,1
3813,TX,2,1,0.7167,1048.0,7898.0,4412.0,18259.0,0.46545000000000003,0.0759,0.3204,3
3814,TX,3,2,0.7724,1121.0,1529.0,8792.0,20025.0,0.5104,0.4209,0.3357,1
